Month,Safari,Chrome,Samsung Internet,Android Webview,Edge,Safari (in-app),Firefox,Opera,(not set),YaBrowser,Amazon Silk,UC Browser,Aloha Browser,Seznam,Whale Browser,Phoenix Browser,Android Runtime,Android Browser,Iron,DuckDuckGo Browser,Mozilla,Mozilla Compatible Agent,Puffin,Maxthon,Coc Coc,YE,Vivaldi,BlackBerry,Playstation 4,Internet Explorer,Nintendo Browser,SeaMonkey,Waterfox,PaleMoon,Meta Quest Browser
March 2026,29854296,22824288,3287795,297617,208305,196773,121130,50777,15389,2971,1432,1264,894,831,421,130,118,51,46,30,16,10,3,1,1,0,0,0,0,0,0,0,0,0,0
February 2026,25472578,19529088,2763180,262970,199109,162997,112261,46503,13957,2429,1336,1354,709,630,461,122,252,82,28,60,13,11,7,0,1,0,0,1,0,1,0,0,0,0,0
January 2026,28266195,21347768,2860519,247772,190646,240420,112805,47864,18155,2173,1621,1054,952,514,588,142,170,53,24,43,13,14,4,1,1,0,0,0,0,2,0,0,0,0,0
December 2025,21676852,16058530,2021593,183550,164844,219540,93929,41855,36830,1849,1358,171,806,263,495,109,61,44,45,44,8,7,5,0,1,0,0,0,0,2,0,0,0,0,0
November 2025,24228386,18464337,2185518,189910,185109,204340,101165,46239,43706,2086,1132,651,817,337,461,151,55,43,65,53,15,9,3,0,0,1,0,2,0,5,0,0,0,0,0
