Month,Chrome,Safari,Amazon Silk,Android Webview,Safari (in-app),Samsung Internet,Opera,YaBrowser,Android Runtime,Seznam,(not set),Whale Browser,Edge,Aloha Browser,Firefox,UC Browser,Phoenix Browser,Internet Explorer,Iron,YE,Vivaldi,BlackBerry,Playstation 4,Coc Coc,Puffin,Nintendo Browser,Mozilla Compatible Agent,Meta Quest Browser,Maxthon,Android Browser,DuckDuckGo Browser,PaleMoon,Waterfox,Mozilla,SeaMonkey
March 2026,66.04%,31.49%,5.38%,1.0%,0.48%,0.15%,0.02%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,66.36%,32.29%,5.8%,0.77%,1.04%,0.16%,0.02%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
January 2026,62.92%,32.71%,6.12%,0.7%,1.29%,0.18%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
December 2025,65.12%,33.23%,6.64%,0.79%,1.42%,0.18%,0.02%,0.01%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
November 2025,64.41%,31.28%,6.36%,0.73%,1.15%,0.18%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
