Month,Chrome,Safari,Edge,Samsung Internet,Firefox,Android Webview,Opera,Safari (in-app),Amazon Silk,(not set),YaBrowser,Mozilla Compatible Agent,UC Browser,Aloha Browser,Seznam,Whale Browser,Meta Quest Browser,Android Runtime,Phoenix Browser,Android Browser,DuckDuckGo Browser,PaleMoon,Iron,Waterfox,Mozilla,SeaMonkey,Maxthon,Nintendo Browser,Internet Explorer,Puffin,Coc Coc,Playstation 4,BlackBerry,Vivaldi,YE
March 2026,-0.52%,+0.05%,-0.32%,+0.13%,-0.1%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,-0.94%,+0.99%,-0.31%,+0.28%,-0.02%,+0.06%,+0.01%,-0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,+0.82%,-1.15%,+0.77%,+0.15%,+0.02%,0.00%,-0.03%,-0.06%,-0.01%,-0.04%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2025,-0.77%,+0.81%,-0.85%,+0.26%,-0.01%,+0.04%,+0.01%,+0.07%,0.00%,0.00%,0.00%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
