Month,Safari & iOS,Chrome & Android,Edge & Windows,Chrome & Windows,Chrome & iOS,Samsung Internet & Android,Safari & Macintosh,Chrome & Macintosh,Chrome & Chrome OS,Firefox & Windows,Android Webview & Android,Chrome & Linux,Edge & Android,Safari (in-app) & iOS,Opera & Windows,Firefox & Android,Firefox & Macintosh,Amazon Silk & Android,Edge & Macintosh,Opera & Android,Samsung Internet & Linux,Firefox & Linux,Opera & Macintosh,(not set) & Android,Edge & Linux,(not set) & iOS,Mozilla Compatible Agent & Macintosh,YaBrowser & Windows,(not set) & (not set),YaBrowser & Android,UC Browser & Android,YaBrowser & iOS,Opera & Linux
March 2026,+0.58%,+0.58%,-0.23%,-0.35%,-0.08%,+0.13%,-0.24%,-0.04%,0.00%,-0.05%,0.00%,-0.02%,-0.02%,0.00%,0.00%,-0.01%,-0.01%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,+0.67%,+0.76%,-0.43%,-0.66%,+0.27%,+0.3%,-0.13%,-0.17%,-0.07%,-0.03%,+0.06%,-0.08%,+0.04%,-0.07%,0.00%,+0.02%,-0.01%,0.00%,0.00%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,-1.46%,-0.99%,+0.84%,+0.6%,-0.22%,+0.13%,+0.23%,+0.15%,+0.06%,-0.01%,0.00%,-0.04%,-0.04%,-0.06%,-0.02%,-0.02%,+0.01%,-0.01%,0.00%,-0.01%,0.00%,0.00%,0.00%,-0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2025,+1.67%,+0.62%,-0.88%,-0.79%,+0.26%,+0.26%,-0.17%,+0.05%,-0.02%,0.00%,+0.04%,+0.12%,+0.01%,+0.07%,0.00%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
