Month,iOS,Windows,Android,Macintosh,Chrome OS,Linux,(not set),Tizen,Playstation 4,UNIX,Fuchsia,FreeBSD,MacOS,PalmOS,OpenBSD,Firefox OS,NetBSD,BlackBerry,Mac OS,Nokia/Iris_00IN/IRS:11/RP1A.201005.001/00WW_1_400:user/release-keys,Win32,samsung/gta8wifieea/gta8wifi:14/UP1A.231005.007/X200XXU4DXH1:user/release-keys
March 2026,+0.51%,-0.63%,+0.67%,-0.29%,0.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,+0.87%,-1.12%,+1.17%,-0.32%,-0.07%,-0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,-,-,0.00%,-
January 2026,-1.74%,+1.4%,-0.96%,+0.4%,+0.06%,-0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-
December 2025,+2.0%,-1.67%,+0.94%,-0.13%,-0.02%,+0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,-,-,-,-
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
