Month,Chrome,Safari,Amazon Silk,Android Webview,Safari (in-app),Samsung Internet,Opera,YaBrowser,Android Runtime,Seznam,(not set),Whale Browser,Edge,Aloha Browser,Firefox,UC Browser,Phoenix Browser,Internet Explorer,Iron,YE,Vivaldi,BlackBerry,Playstation 4,Coc Coc,Puffin,Nintendo Browser,Mozilla Compatible Agent,Meta Quest Browser,Maxthon,Android Browser,DuckDuckGo Browser,PaleMoon,Waterfox,Mozilla,SeaMonkey
March 2026,-0.32%,-0.8%,-0.42%,+0.24%,-0.56%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,+3.44%,-0.42%,-0.32%,+0.06%,-0.26%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,-2.2%,-0.52%,-0.53%,-0.09%,-0.13%,+0.01%,0.00%,0.00%,0.00%,0.00%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2025,+0.71%,+1.95%,+0.29%,+0.06%,+0.27%,-0.01%,0.00%,0.00%,0.00%,0.00%,+0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
