Month,Chrome,Safari,Edge,Samsung Internet,Firefox,Android Webview,Opera,Safari (in-app),Amazon Silk,(not set),YaBrowser,Mozilla Compatible Agent,UC Browser,Aloha Browser,Seznam,Whale Browser,Meta Quest Browser,Android Runtime,Phoenix Browser,Android Browser,DuckDuckGo Browser,PaleMoon,Iron,Waterfox,Mozilla,SeaMonkey,Maxthon,Nintendo Browser,Internet Explorer,Puffin,Coc Coc,Playstation 4,BlackBerry
March 2026,37095611,33236569,13299963,3326925,711651,307969,204312,201700,55876,18412,6732,4678,1280,961,912,788,152,144,132,51,51,51,47,19,17,13,4,4,3,3,2,2,0
February 2026,32779211,28969553,11851495,2801239,702461,272596,177121,173787,52689,17269,5714,4090,1375,761,676,775,144,285,123,82,67,60,28,12,16,15,4,8,7,12,7,0,1
January 2026,37783207,31797921,13636625,2910655,806401,254101,194061,254986,60821,22170,5053,4217,1062,994,569,950,124,192,143,53,44,61,24,31,20,33,5,7,10,5,1,0,0
