Month,Safari,Chrome,Samsung Internet,Android Webview,Edge,Safari (in-app),Firefox,Opera,(not set),YaBrowser,Amazon Silk,UC Browser,Aloha Browser,Seznam,Whale Browser,Phoenix Browser,Android Runtime,Android Browser,Iron,DuckDuckGo Browser,Mozilla,Mozilla Compatible Agent,Puffin,Maxthon,Coc Coc,YE,Vivaldi,BlackBerry,Playstation 4,Internet Explorer,Nintendo Browser,SeaMonkey,Waterfox,PaleMoon,Meta Quest Browser
March 2026,0.00%,-0.11%,+0.09%,-0.02%,-0.04%,+0.01%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,0.00%,+0.59%,+0.38%,+0.08%,+0.06%,-0.11%,+0.02%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,-1.54%,-0.39%,+0.27%,0.00%,-0.06%,-0.1%,-0.02%,-0.02%,-0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2025,+1.87%,+0.29%,+0.33%,+0.05%,+0.01%,+0.11%,+0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
