Month,Chrome,Edge,Safari,Firefox,Opera,Samsung Internet,Mozilla Compatible Agent,YaBrowser,(not set),Whale Browser,Meta Quest Browser,Seznam,Aloha Browser,PaleMoon,DuckDuckGo Browser,Waterfox,SeaMonkey,UC Browser,Maxthon,Mozilla,Internet Explorer,Coc Coc,Safari (in-app),Amazon Silk,Android Webview,Android Runtime,Phoenix Browser,Android Browser,Iron,Nintendo Browser,Puffin,Playstation 4,BlackBerry,Vivaldi,YE
March 2026,+0.9%,+1.17%,-0.22%,-0.16%,+0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February 2026,-1.26%,+0.68%,+0.13%,+0.02%,+0.03%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January 2026,-0.66%,-0.9%,-0.17%,-0.13%,-0.08%,-0.02%,-0.02%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
December 2025,+0.5%,-0.18%,+0.06%,+0.1%,+0.02%,+0.02%,+0.02%,0.00%,+0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
