Month,Safari & iOS,Chrome & Android,Edge & Windows,Chrome & Windows,Chrome & iOS,Samsung Internet & Android,Safari & Macintosh,Chrome & Macintosh,Chrome & Chrome OS,Firefox & Windows,Android Webview & Android,Chrome & Linux,Edge & Android,Safari (in-app) & iOS,Opera & Windows,Firefox & Android,Firefox & Macintosh,Amazon Silk & Android,Edge & Macintosh,Opera & Android,Samsung Internet & Linux,Firefox & Linux,Opera & Macintosh,(not set) & Android,Edge & Linux,(not set) & iOS,Mozilla Compatible Agent & Macintosh,YaBrowser & Windows,(not set) & (not set),YaBrowser & Android,UC Browser & Android,YaBrowser & iOS,Opera & Linux
March 2026,33.85%,21.87%,14.67%,12.72%,4.44%,3.7%,3.63%,2.48%,0.56%,0.54%,0.35%,0.25%,0.23%,0.23%,0.16%,0.14%,0.11%,0.06%,0.06%,0.06%,0.05%,0.03%,0.01%,0.01%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,33.27%,21.29%,14.9%,13.07%,4.51%,3.57%,3.87%,2.52%,0.55%,0.59%,0.35%,0.27%,0.26%,0.22%,0.16%,0.14%,0.12%,0.07%,0.06%,0.06%,0.05%,0.03%,0.01%,0.01%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
January 2026,32.6%,20.53%,15.33%,13.73%,4.24%,3.27%,4.0%,2.7%,0.63%,0.62%,0.29%,0.35%,0.22%,0.29%,0.16%,0.13%,0.13%,0.07%,0.06%,0.06%,0.05%,0.03%,0.01%,0.02%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
December 2025,34.06%,21.52%,14.49%,13.13%,4.46%,3.14%,3.77%,2.55%,0.56%,0.63%,0.29%,0.39%,0.26%,0.36%,0.17%,0.15%,0.12%,0.08%,0.05%,0.07%,0.05%,0.03%,0.01%,0.05%,0.01%,0.01%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%
November 2025,32.4%,20.9%,15.37%,13.92%,4.2%,2.88%,3.94%,2.5%,0.59%,0.63%,0.26%,0.28%,0.24%,0.28%,0.17%,0.13%,0.12%,0.08%,0.05%,0.06%,0.05%,0.03%,0.01%,0.05%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
