Month,iOS,Windows,Android,Macintosh,Chrome OS,Linux,(not set),Tizen,Playstation 4,UNIX,Fuchsia,FreeBSD,MacOS,PalmOS,OpenBSD,Firefox OS,NetBSD,BlackBerry,Mac OS,Nokia/Iris_00IN/IRS:11/RP1A.201005.001/00WW_1_400:user/release-keys,Win32,samsung/gta8wifieea/gta8wifi:14/UP1A.231005.007/X200XXU4DXH1:user/release-keys
March 2026,38.52%,28.09%,26.43%,6.29%,0.56%,0.34%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,38.02%,28.72%,25.76%,6.58%,0.55%,0.36%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0.0%,0.0%,0%,0%,0.0%,0%
January 2026,37.14%,29.84%,24.58%,6.9%,0.63%,0.44%,0.01%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0%,0%,0%
December 2025,38.89%,28.44%,25.55%,6.5%,0.56%,0.48%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0.0%,0%,0%,0%,0%
November 2025,36.89%,30.11%,24.61%,6.63%,0.59%,0.36%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0%,0%,0%
