Month,Amazon Silk,Chrome,Safari,Opera,Android Webview,Nintendo Browser,Playstation 4,Firefox,(not set),Meta Quest Browser,Whale Browser,Seznam,Aloha Browser,UC Browser,Mozilla Compatible Agent,YaBrowser,Safari (in-app),Samsung Internet,YE,Vivaldi,BlackBerry,Coc Coc,Puffin,Internet Explorer,Maxthon,SeaMonkey,Mozilla,Waterfox,Iron,PaleMoon,DuckDuckGo Browser,Android Browser,Phoenix Browser,Android Runtime,Edge
March 2026,-2.8%,+7.37%,-4.92%,+0.89%,-0.52%,-0.22%,+0.09%,-0.01%,+0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%
February 2026,-0.38%,-1.01%,+0.44%,+0.85%,+0.15%,+0.11%,0.00%,-0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.04%,+0.05%
January 2026,+2.9%,+0.7%,-4.2%,-0.33%,+0.68%,+0.15%,0.00%,-0.17%,-0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.62%,-0.05%
December 2025,-3.33%,+2.65%,+1.44%,-1.56%,+0.82%,-0.11%,0.00%,+0.18%,+0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,0.00%,0.00%,+0.11%,-0.05%
November 2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
