Month,Mobile,Desktop,Tablet,Smart TV and games consoles
March 2026,64.5%,35.14%,1.13%,0.0%
February 2026,63.05%,36.65%,1.14%,0.0%
January 2026,62.05%,38.39%,1.11%,0.0%
December 2025,62.74%,35.57%,1.1%,0.0%
November 2025,61.65%,37.45%,1.19%,0.0%
