Month,Amazon Silk,Chrome,Safari,Opera,Android Webview,Nintendo Browser,Firefox,Playstation 4,(not set),Samsung Internet,Edge,Safari (in-app),YaBrowser,Mozilla Compatible Agent,UC Browser,Aloha Browser,Seznam,Whale Browser,Meta Quest Browser,Android Runtime,Phoenix Browser,Android Browser,DuckDuckGo Browser,PaleMoon,Iron,Waterfox,Mozilla,SeaMonkey,Maxthon,Internet Explorer,Puffin,Coc Coc,BlackBerry
March 2026,874,835,235,122,98,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February 2026,847,611,310,93,99,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January 2026,1032,762,364,92,116,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
