Month,Chrome,Safari,Amazon Silk,Android Webview,Safari (in-app),Samsung Internet,Opera,YaBrowser,Android Runtime,Seznam,(not set),Whale Browser,Edge,Aloha Browser,Firefox,UC Browser,Phoenix Browser,Internet Explorer,Iron,YE,Vivaldi,BlackBerry,Playstation 4,Coc Coc,Puffin,Nintendo Browser,Mozilla Compatible Agent,Meta Quest Browser,Maxthon,Android Browser,DuckDuckGo Browser,PaleMoon,Waterfox,Mozilla,SeaMonkey
March 2026,665987,317595,54256,10104,4838,1531,167,68,26,19,11,8,7,6,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February 2026,585789,285016,51163,6758,9161,1398,147,69,34,9,13,13,6,1,4,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January 2026,613492,318968,59641,6841,12612,1778,199,38,21,15,13,30,5,1,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
December 2025,461633,235555,47096,5604,10060,1241,173,39,10,8,130,14,2,3,4,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
November 2025,579845,281545,57219,6547,10320,1631,190,44,7,11,2,15,16,8,18,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
