Month,Amazon Silk,Chrome,Safari,Opera,Android Webview,Nintendo Browser,Playstation 4,Firefox,(not set),Meta Quest Browser,Whale Browser,Seznam,Aloha Browser,UC Browser,Mozilla Compatible Agent,YaBrowser,Safari (in-app),Samsung Internet,YE,Vivaldi,BlackBerry,Coc Coc,Puffin,Internet Explorer,Maxthon,SeaMonkey,Mozilla,Waterfox,Iron,PaleMoon,DuckDuckGo Browser,Android Browser,Phoenix Browser,Android Runtime,Edge
March 2026,40.13%,38.34%,10.79%,5.6%,4.5%,0.18%,0.09%,0.09%,0.05%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,42.93%,30.97%,15.71%,4.71%,5.02%,0.41%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.05%
January 2026,43.31%,31.98%,15.27%,3.86%,4.87%,0.29%,0.0%,0.25%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.04%,0.0%
December 2025,40.4%,31.28%,19.47%,4.19%,4.19%,0.14%,0.0%,0.42%,0.05%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.66%,0.05%
November 2025,43.73%,28.63%,18.03%,5.75%,3.37%,0.25%,0.0%,0.25%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.05%,0.0%,0.0%,0.54%,0.1%
