Month,Safari,Chrome,Samsung Internet,Android Webview,Edge,Safari (in-app),Firefox,Opera,(not set),YaBrowser,Amazon Silk,UC Browser,Aloha Browser,Seznam,Whale Browser,Phoenix Browser,Android Runtime,Android Browser,Iron,DuckDuckGo Browser,Mozilla,Mozilla Compatible Agent,Puffin,Maxthon,Coc Coc,YE,Vivaldi,BlackBerry,Playstation 4,Internet Explorer,Nintendo Browser,SeaMonkey,Waterfox,PaleMoon,Meta Quest Browser
March 2026,52.09%,39.82%,5.74%,0.52%,0.36%,0.34%,0.21%,0.09%,0.03%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,52.09%,39.94%,5.65%,0.54%,0.41%,0.33%,0.23%,0.1%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
January 2026,52.09%,39.34%,5.27%,0.46%,0.35%,0.44%,0.21%,0.09%,0.03%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
December 2025,53.63%,39.73%,5.0%,0.45%,0.41%,0.54%,0.23%,0.1%,0.09%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
November 2025,51.76%,39.45%,4.67%,0.41%,0.4%,0.44%,0.22%,0.1%,0.09%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
