Month,Chrome,Edge,Safari,Firefox,Opera,Samsung Internet,Mozilla Compatible Agent,YaBrowser,(not set),Whale Browser,Meta Quest Browser,Seznam,Aloha Browser,PaleMoon,DuckDuckGo Browser,Waterfox,SeaMonkey,UC Browser,Maxthon,Mozilla,Internet Explorer,Coc Coc,Safari (in-app),Amazon Silk,Android Webview,Android Runtime,Phoenix Browser,Android Browser,Iron,Nintendo Browser,Puffin,Playstation 4,BlackBerry,Vivaldi,YE
March 2026,14212616,13110609,3226125,593240,152939,46939,4663,3657,2873,361,152,62,61,51,21,19,13,11,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
February 2026,12679575,11599480,2998875,584589,133761,42183,4084,3184,3261,300,144,37,53,60,7,12,15,14,4,3,3,6,0,0,0,0,0,0,0,0,5,0,0,0,0
January 2026,15399821,13473887,3497319,682394,147698,45263,4210,2741,4004,330,124,40,40,61,1,31,33,6,4,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
December 2025,10661957,9402142,2426377,495880,119842,34418,8595,2503,4231,346,111,37,42,53,6,25,39,10,6,6,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0
November 2025,13088168,11717712,2993597,585491,142588,37159,4624,3179,2711,348,88,25,41,53,0,23,39,5,2,12,80,0,0,0,0,0,0,0,0,0,5,0,0,0,0
