Month,Chrome,Safari,Edge,Samsung Internet,Firefox,Android Webview,Opera,Safari (in-app),Amazon Silk,(not set),YaBrowser,Mozilla Compatible Agent,UC Browser,Aloha Browser,Seznam,Whale Browser,Meta Quest Browser,Android Runtime,Phoenix Browser,Android Browser,DuckDuckGo Browser,PaleMoon,Iron,Waterfox,Mozilla,SeaMonkey,Maxthon,Nintendo Browser,Internet Explorer,Puffin,Coc Coc,Playstation 4,BlackBerry,Vivaldi,YE
March 2026,41.74%,37.4%,14.97%,3.74%,0.8%,0.35%,0.23%,0.23%,0.06%,0.02%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
February 2026,42.27%,37.36%,15.28%,3.61%,0.91%,0.35%,0.23%,0.22%,0.07%,0.02%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
January 2026,43.2%,36.36%,15.59%,3.33%,0.92%,0.29%,0.22%,0.29%,0.07%,0.03%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
December 2025,42.38%,37.51%,14.82%,3.18%,0.91%,0.29%,0.25%,0.36%,0.08%,0.06%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
November 2025,43.15%,36.7%,15.67%,2.92%,0.92%,0.26%,0.24%,0.28%,0.08%,0.06%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
