Month,Chrome,Safari,Edge,Samsung Internet,Firefox,Safari Webview,Android Webview,Opera,Amazon Silk,(not set),Mozilla Compatible,Yandex,Aloha,Seznam,UC Browser,Meta Quest Browser
December 2025,42.44%,37.65%,14.84%,3.18%,0.91%,0.36%,0.29%,0.25%,0.08%,0.06%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
November 2025,42.02%,36.59%,15.62%,2.91%,0.91%,0.28%,0.26%,0.24%,0.08%,0.06%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
October 2025,43.63%,36.04%,15.74%,2.78%,0.92%,0.22%,0.25%,0.27%,0.11%,0.03%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%
